label,name1,name2,freq
12,马忠,德信,1
56,田丰,元皓,5
75,吕布,奉先,3
101,刘备,玄德,21
118,关羽,云长,16
123,许褚,仲康,2
181,张飞,翼德,3
182,张辽,文选,8
202,张翼,伯恭,2
252,荀彧,文若,2
283,袁绍,本初,4
306,徐晃,公明,3
348,曹操,孟德,16
371,程昱,仲德,2
