label,name1,name2,freq
52,甘宁,兴霸,19
53,左慈,元放,18
60,乐进,文谦,5
81,吕蒙,子明,4
99,刘表,景升,1
101,刘备,玄德,2
123,许褚,仲康,1
127,孙权,仲谋,25
142,孙策,伯符,1
160,李典,曼成,5
169,步骘,子山,2
182,张辽,文选,10
191,张昭,子布,2
206,陆逊,伯言,1
210,陈武,子烈,7
230,周泰,幼平,12
235,庞德,令明,5
252,荀彧,文若,1
265,钟繇,元常,1
283,袁绍,本初,1
294,贾诩,文和,3
305,顾雍,元叹,1
306,徐晃,公明,2
307,徐盛,文向,7
312,凌统,公绩,13
332,曹仁,子孝,1
333,曹丕,子桓,3
334,曹休,文烈,2
339,曹昂,子修,1
343,曹植,子建,3
348,曹操,孟德,23
350,崔琰,季珪,3
357,董袭,元代,7
360,蒋钦,公奕,1
