label,name1,name2,freq
2,丁奉,承渊,8
101,刘备,玄德,61
118,关羽,云长,2
127,孙权,仲谋,10
137,孙乾,公祜,1
191,张昭,子布,2
210,陈武,子烈,5
230,周泰,幼平,4
232,周瑜,公瑾,20
246,赵云,子龙,17
307,徐盛,文向,9
320,诸葛诞,公休,1
321,诸葛亮,孔明,8
330,黄忠,汉升,1
331,黄盖,公覆,3
348,曹操,孟德,1
360,蒋钦,公奕,8
363,韩当,义公,3
372,程普,德谋,1
397,潘璋,文圭,5
403,魏延,文长,1
